"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"bob the moo","29 March 2002","`Days from retirement' Detective Somerset is teamed with new-to-the-city Detective Mills to investigate a murder that quickly becomes a series. Somerset realises that the killer must be smart and is using classic literature to model his killings on the seven deadly sins, however Mills finds to hard to see him as anything other than a crazy man.  With the killer close to completing his work, Mills and Somerset begin to close in on him.  However nothing is as it seems in a dark depressing city full of moral degradation and apathy.When David Fincher came onto the scene with his debut feature Alien3 the world only paused to scorn a film that didn't fit in with the Alien franchise.  Yes it wasn't a great film  but I loved the sense of mood, the dark the tension in the shadows that Fincher created.  Years later we have Se7en, Fight Club, The Game, and at people are getting Fincher!Se7en was his major break through  where his dark visions also reaped box-office gold.  The story doesn't sound like much  mismatched partners (one young, cocky and reckless  the other a few days from retirement) go after a serial killer who is carrying out a series of twisted murders..it sounds like Lethal Weapon meets a straight to video thriller.  But happily it rises above that by so much it's unbelievable.it certainly shows how a story put in good hands can work out.  From the start we are entombed in mood  the city where it always rains, the uncaring people etc.  The we begin to find murders  but Fincher doesn't show us the murders, he lets us see the aftermath in the shadows and lets us imagine the rest  Genius!What you don't see is more gory than what you do.  Meanwhile the tension is cranked up to fever pitch as the race to catch the killer is accelerated. When we meet the killer, the film just gets betterright up to an ending that is simply one of the most logical, emotional and gripping endings I've ever seen.  I promise you'll leave the cinema shell shocked.Freeman is excellent as Somerset  so good that it's a role he's tried to do again in `Kiss the girls' etc.  But here he is the perfect foil for both Mills and the killer.  Brad Pitt is also superb....he isn't allowed to trade on his looks here and does very well in a film that has little opportunity for him to pander to his female fans  he spends a lot of it looking beaten up.  Paltrow is OK with what she has  but this isn't really a film that focuses on female roles.  R. Lee Ermey is as good as ever and it's a sign of how good the cast is that actors of the stature of Charles Dutton and John C McGinley are basically in roles that barely count as cameos.However the best performance is from Kevin Spacey in the years before he became an Oscar lovie and stopped doing bad guys or dark characters.  He is only on screen for a small portion of the film but his dialogue is superb and he delivers it faultlessly.  In the scene where he shares a car ride with Mills and Somerset you literally hang on his every word.  However alongside Spacey Fincher stands triumphant with his dark vision given the perfect story and perfect actors.At heart this is a cop thriller  but excellent performances, excellent mood and a moral lesson from an excellent Spacey make this quite simply the most jaw-droppingly excellent thriller of the 1990's.","
            9/10
            "
"Twins65","13 March 2017","...and it was STILL STELLAR! Fincher's mid-90's crime drama SE7EN got a whole bunch of hype when it first came out, and deservedly so. Pitt was still on the upswing of his career, ""Gwyn"" was still not yet a household name (which was a good thing for this role), and of course Freeman was at the top of his game (see SHAWSHANK, UNFORGIVEN, OUTBREAK, etc.) once again playing the voice of reason to perfection. And throw in Spacey, who was still in the last stages of being a THAT GUY (albeit, one of the very best THAT GUYS-- he would pick up a Supporting Actor Oscar the next year for THE USUAL SUSPECTS), and you've got one helluva cast.But it wouldn't have all mattered if the story wasn't any good, and this one, written by Andrew Kevin Walker, is top notch. I guess my only real beef is that we wait too long until we actually get involved visually with Spacey's John Doe. But once he shows, the movie is even more riveting down the stretch. The chase scene and then finally the car ride scene are tremendous, as is the final showdown which I won't spoil here but I think every movie buff is familiar with by now.WATCH IT AGAIN WHEN YOU CAN!","
            10/10
            "
"tsatsas","20 June 2002","Gothic, shocking, suspenseful, disturbing and clever, `Seven' marked a new beginning for director David Fincher's career. This dark tale of murder and crime revolves around two detectives in present New York city played by two brilliant actors `Brad Pitt' and `Morgan Freeman' who are paired together to solve a puzzle of murder that is at the hands of a man who kills regarding to the seven deadly sins. Both actors displayed striking performances that are so sharp and realistic sometimes you have to remind yourself that's its all acting. David Fincher's masterpiece really gives us an opportunity of a lifetime, maybe it's one that we don't all wish to share, but by seeing this movie you will experience a glimpse of the horrors that this world is filled with, and a small piece of mind of a man who you only prey you never have to meet.Brad Pitt successfully proves to us that he's not just a pretty face on screen, and that he sinks into his character so well, that you can walk off after the film finishes classifying him as a pretty darn good actor.You wouldn't expect anything else from Morgan Freeman because it's perfectly obvious that this guy was born to play the roles of the smart detective.David Fincher's timeless directing and memorable filming captures all the goods that this film has to offer and will undoubtedly leave you shocked and begging for more films like this. Seven is a step into the harsh realities of life, a realistic portrayal of two detectives investigation into the un-describable horrific world murder, and the darkest realms of the human soul.We can only prey for more classic memorable work from Mr. Fincher and for those future directors who are intent on making a gothic, psychological thriller, make sure you sit down and watch Seven with a pen and paper ready to take notes.","
            10/10
            "
"johnmbale","21 August 2005","A stand out film dealing with a particularly unpleasant Serial Killer, ""Se7en"" (along with ""Silence of the Lambs""), is something of a milestone in this genre. An intelligent script, and admirable actors including the excellent Morgan Freeman, Prad Pitt, Gwenth Paltrow and Kevin Spacey, with a cinema noir style, and very grisly murders representing the Seven Deadly Sins. It is the performances however that lifts this movie above the average, Morgan Freeman as the older world wise detective, Pitt almost manic as his young enthusiastic sidekick, Poltrow plays the wife with a fine degree of sensitivity, and Spacey does his usual brilliant psycho routine. There is a pivotal scene with Freeman and Paltrow in a café which shows the depth of performances here. They are believable characters in a dark disturbing world wherein it always seems to be raining. An effective thriller with tight direction and atmospheric photography.","
            9/10
            "
"dommercaldi","24 August 2020","Pros:
1. The score is beautifully ominous which only deepens the thrilling and unsettling atmosphere.
2. Brad Pitt (Mills), Morgan Freeman (Somerset), and Kevin Spacey (John Doe) give amazing performances.
3. The colour palette being dark and monotone helps to cement the gloomy and grim tone.
4. The gore and practical effects are immense and they still stand up 25 years later. The sloth, lust, and gluttony murders, in particular, stick in mind.
5. The great cinematography knows when to pull the camera back, as well as to draw it close for great effect.
6. Both Morgan Freeman and Brad Pitt have great chemistry together.
7. The back-and-forth between Somerset, Mills, and John Doe in the police car is one of the most intense and captivating scenes in the history of cinema.
8. The movie presents the interesting and complex moral quandary of: is it immoral to kill the immoral? Even if those immoral people adversely affect other people? And who gets to decide who is immoral, and what punishment should be meted out to them?
9. Despite the underdeveloped character of Tracy (Gwyneth Paltrow), the conclusion is still one of the hardest hitting and iconic endings ever created.Cons:
1. Tracy is a severely underdeveloped character, with her pregnancy-confessing scene to Somerset feeling lazily forced to add weight to the final scene.","
            10/10
            "
"Howlin Wolf","14 January 2008","""Se7en"" is unique because of the extraordinary sympathy it manages to foster for its two main characters; it's unique because of its bleak, hopeless environment that serves as a symptom of civilization's general decline. It's strengthened by its brilliant performances capturing mostly decent people struggling to survive in the sewer without becoming tainted by it. The fictional John Doe would most likely agree with all these theoretical snapshots of despair - the difference comes in his psychopathic desire to come up with a plan that he thinks will solve it.Few forms of popular entertainment manage to afford the villain his say whilst still maintaining a sensible distance from his horrific acts. What I like best is the film's depressing contention that there isn't as much distinction as we think between the good guys and the bad guys. We're all affected by the distasteful aspects of society, but do we just hope that our own positive contributions will be enough to offset them - or in extreme situations, when we stare into the abyss, will the abyss stare back at us? Some may well be upset that the killer's justification contains reasoned objections. It is really only by resorting to crime that he reveals himself as a madman. Rather than be outraged, though, I prefer to celebrate good writing that allows us to see hidden facets of an issue, however unpalatable the resultant consequences of such a viewpoint may turn out to be.","
            10/10
            "
"pooch-8","16 August 1999","David Fincher's bleak, relentless, and ultimately terrifying crime thriller Seven transcends other films of the genre with incredible plotting (the sort Hitchcock might employ were he alive and making films in the 1990s) and scalding intelligence.  With only a small handful of minor flaws -- the overly familiar retiring cop/young cop pairing; the awful ""I'm taking you off the case!"" cliche seemingly required by the genre; one giant lapse in logic in the downward spiral toward the conclusion that cannot be revealed without ruining the script's gruesome surprise -- Seven typically keeps its viewers imprisoned in their seats with a combination of morbid fascination and abject fear.  Despite attempts by studio executives to alter Andrew Kevin Walker's ending, the filmmaking team prevailed and audiences experienced that rare treat of mainstream cinema: an uncompromising vision.","
            10/10
            "
"namashi_1","24 September 2015","David Fincher has made remarkable films throughout his career, but 'Se7en' finds him at his FINEST! This neo-noir psychological-thriller, is an astonishing piece of Cinema. I was mesmerized. 'Se7en' Synopsis: Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.'Se7en' is a Masterstroke from start to end. A dark, moody, violent & utterly gripping story, that keeps you at the edge-of-your-seat. There isn't a single dull moment in this blockbuster, in fact, the tale gets more & more intriguing as it progresses.Andrew Kevin Walker's Screenplay is Ace. It's a spine-chilling tale about two heroes out to get a psychotic killer. The Writing grips you from the moment it begins & refuses to let you go. Fincher's Direction is incredible. The way he has handled this twisted story, deserves an ovation. Darius Khondji's Cinematography is flawlessly done. Richard Francis-Bruce's Editing is tight. Action-Sequences are mind-blowing. Howard Shore's Score is perfect.Performance-Wise: Morgan Freeman is at his understated best. The Oscar-Winning Legend delivers a master-class act here, that ranks amongst his finest to date. Brad Pitt is in terrific form, adding depth & anger to his part. Kevin Spacey is loathsome to the core in his creepy portrayal of the wicked villain. Gwyneth Paltrow is wonderful in a brief, yet important role. On the whole, 'Se7en' is a film to die for. Two Big Thumbs Up!","
            9/10
            "
"Sergeant_Tibbs","10 March 2007","In 1995 David Fincher released a perfectly constructed modern masterpiece; Se7en. One of the most exhilarating experiences of all-time and a classic to come.A cop; Detective David Mills (Brad Pitt) has just moved into the city with his wife, Tracy (Gwyneth Paltrow) in hope of finally settling down. Mills will take over the job of Detective Lt. William Somerset (Morgan Freeman) an old cop who has seven days until his retirement begins. Both are dedicated to the badge. They are put together on the case of an obesity murder, in which a man has been forced to 'eat till he bursts'. This then leads to another murder scene in which a lawyer has bled to death, although the murderer didn't actually use the knife; he made the lawyer do it. This is just the beginning of a mass murder masterpiece crafted by the insane John Doe, brilliantly played by Kevin Spacey.Whatever you do while watching it, do not see it as hollow. Se7en is far from it. Many scenes study civilisation; present civilisation. And its evil. Our society isn't a pleasant one. The film concentrates mainly on the cops search; when it comes to the mystery part in finding the killer, we discover the policemen's differences in methods, and how the most obvious one does not actually work. Of course, its Somerset, the one with the most experience who has the best way. He tries to find out why. Why some man is killing these people using a specific punishment. While Mills tries, unsuccessfully, to find out how; by studying the crime scene for clues. He ends up bored. With the help of the library, Somerset gets closer to the murderer. It may seem as though the role of Tracey is a pointless part, but she is more important than anything. She is the one who brings the men to being more personal with each other. Notice how in the dinner scene she is the one to introduce them by name. All making the climax tense and difficult.Mills is the kind of guy to pull his gun out before his torch. He has an arrogant sense of things though is 'by the book' and works. Somerset has never even fired his weapon. He sees the evil round him. And he wants to leave it. Though he is a cop so he has the permission to do something about it. But the problem is, he isn't doing anything about it. John Doe is. The reason why society is evil is because we are allowed to sin. There is now nothing stopping us. It has become a common factor of life. And there should be. That is why John Doe thinks his behaviour is OK. But the problem is he is being stopped instead of the crime out there. This is the harsh reality we live in.There are seven deadly sins. Gluttony. Greed. Sloth. Pride. Lust. Envy. Wrath. And seven ways to die.Kevin Spacey is amazing as John Doe, portraying insanity perfectly. One of the greatest supporting performances of all-time already. And he's only in it for half an hour. Brad Pitt delivers a kind of forced performance which adds to the Hollywood effect of the film though I couldn't imagine anyone else for the part. Morgan Freeman played his role with the greatest concentration. Throughout he needed a look of woe on his face. And he did just that.The writing is extraordinary. The genius, Andrew Kevin Walker took an interesting subject and created an instant classic. But most credit has to go to Fincher. Who took aspects you wouldn't even think of looking at and filming it. Together they project a deep film on our screens that no-one should miss. In one scene near the end, he makes it so when a word is spoken we cut to a character as that gives us clues to their fate. A feast for the brain. One of the most imaginative scripts of the 90s. Fincher also knows exactly how to shoot the film. Whether it be steady-cam for the slow and easy parts or the hand-held camera for the adrenalin pumping scenes.The cinematography is what makes this an excellent movie. Everything is dark. The world out there is rough, raw, grim and gritty. It does just that. The effect it makes is astounding and truly works. The sinister music that is added keeps the heart pounding throughout and keeps the audience uncomfortable, in a good way. As that's what the film tries to achieve. The opening credits are upon the greatest segment of film I have ever seen. The jumpiness makes you feel uneasy yet intrigued to keep watching. Every scene, due to the effort put in it, is masterful and is what makes the film a joy to watch and observe.Se7en reveals the best glimpse we have seen of the disturbing underworld. One of my favourites and always will be.10/10","
            9/10
            "
"ackstasis","15 September 2007","After years of experiencing dull, formulaic, clichèd so-called thrillers, it's always satisfying when a genuinely great movie comes along. I have absolutely no hesitation in proclaiming 'Se7en' to be such a film, with director David Fincher  after achieving a somewhat mixed result in his cinematic debut, 'Alien³'  firmly proclaiming his place as one of the 1990's most promising new talents. It's somewhat surprising that the movie had managed to elude me for so long, since I'd been wanting to see it for a while, and it was only last week that I managed to get my hands on a DVD copy. And so, without further ado, I invited over a friend, who has an equal partiality towards good thrillers, and enthusiastically promised him one of the best of its decade. 'Se7en' didn't disappoint.The film takes place in a dark, gritty, unnamed metropolis, where it is always raining and danger looms ominously from every alleyway. Reserved and hardened Detective Lt. William Somerset (Morgan Freeman) has seen it all in his lifetime, and is finally preparing to retire to the country, away from the madness of the city. His replacement, impulsive Detective David Mills (Brad Pitt), has transferred here at his own request, and is eager to make his mark, even though his career choice could be harming the wellbeing of his lonely and vulnerable wife, Tracy (Gwyneth Paltrow). Both detectives are soon drawn into the case of a serial killer, John Doe, who is ritualistically murdering his victims according to the Seven Deadly Sins: gluttony, greed, sloth, lust, pride, envy and wrath. As the murders begin piling up, the two detectives' investigation becomes an obsession, and the inevitable outcome will drastically change the lives of both. Throughout the film, Brad Pitt provides most of the comic relief, none of which detracts at all from the horrors we are witnessing on screen.David Fincher has a unique visual style that is simply thrilling to watch. Despite the thematically dark tone of the story, the film itself is positively brimming with invigorating and vibrantly-contrasted colour and lighting. The graphic murder scenes appear to splash out of the screen, before our very eyes, enhancing the feelings of dread and repulsion that accompany John Doe's horrific acts of murder. The rich, highly-stylised use of colour also helps create a memorable atmosphere of sheer foreboding; the imagery is sure to stay with you for many years to come. Even as 'Se7en' abandons the gritty setting of the city for the final act  shifting the action to a starkly-lit open field beside a trail of electric power-lines  the film loses none of its potency, the isolation of the climactic arena seemingly leaving our main protagonists even more helpless and vulnerable than before.Our villain is anonymously titled John Doe, and is played with delightful creepiness by Kevin Spacey, who only agreed to the part under the condition that he remain unbilled in the promotion and opening credits of the film. Unlike your typical serial killer, John Doe is not a crazy, impulsive and stupid mad-man, but something rather more terrifying: he is intelligent, patient and methodical. In one particularly ghastly crime, he keeps a convicted drug dealer chained to his bed for an entire year, removing his hands and his tongue, and regularly paying his rent so as to not arouse any suspicions. John Doe's entire life has been dedicated to Mankind's obsession with committing sin, and, through orchestrating his crimes, he wishes to preach to the society of their transgressions. John Doe, rather uniquely, is given a large portion of the film's final half-hour, and so he becomes a character that we come to know very well, as opposed to the half-constructed serial killers who usually turn up in the final five minutes only to be shot by the hero. Spacey is very good in the role, though I can't help but feel that his performance would have been even more effective had I not been familiar with much of his later film work.The most exciting scene in the film is undoubtedly the hectic foot-chase that ensues when John Doe arrives home to his apartment, only to find Detectives Somerset and Mills waiting patiently outside his door. However, the film's climax is also well worth mentioning: though many interpretations have been floating around, my view is that the final two victims are John Doe himself (""Envy"") and David Mills (""Wrath""). In order to prevent himself from being labeled a hypocrite, as Mills had suggested during the car-ride, Doe allowed his own deadly sin - envy - to result in the death of Tracy, and so enticed Mills to shoot him, simultaneously becoming the sixth victim and prompting Mills to commit the seventh sin. Some have argued that, since Mills didn't die, he can't be perceived as one of Doe's victims, but is being left alive in these circumstances perhaps even a more diabolical punishment?","
            10/10
            "
"SnoopyStyle","15 May 2015","Somerset (Morgan Freeman) is a wearied homicide detective. Mills (Brad Pitt) worked hard to transfer to the troubled precinct. He's married to Tracy (Gwyneth Paltrow). There is a serial killer on the loose delivering his sermon on the Seven Deadly Sins. Somerset is tired of the city. Mills is eager to investigate.Director David Fincher has filled with beautiful darkness. It's more than just the gruesome murders. It's the rain, the music score and the grungy setting. Fincher has weaved together an artistic masterpiece. Freeman is the perfect grizzled veteran. Brad Pitt is a terrific eager newcomer. There are surprising comedy sprinkled in. The final twist is simply cinematic history. The big line is awesome. Pitt delivers it perfectly with so much heart aching pleading. Some do deride its grotesque gloom but that's like complaining about a movie being too funny or too exciting. This is suppose to be dark and it achieves it.","
            10/10
            "
"sandnair87","24 March 2015","Se7en is a nerve-jangling thriller, hauntingly shot by visionary director David Fincher, who crafts one of the most iconic films of all time.Se7en tells the tale of a grisly serial killer who is twisted on delivering a sermon against modern depravity. He murders his victims to atone for the sins he deems them to have committed; his crimes echo the seven deadly sins namely gluttony, greed, sloth, envy, pride, wrath and lust. Tracking this gruesome killer (played with a quiet insanity that makes your flesh crawl, by an actor par excellence – no spoilers here!) is a cliché pair of cops. There's the jaded veteran Detective Lieutenant Somerset (Morgan Freeman who brings great depth and dignity to the part) who is in the last week of his employ with the police department. Partnering him is a young, eager-to-kick-some-evil-butt cop Detective Mills (Brad Pitt whose callowness works perfectly for his character). After killing an overweight man by force-feeding him to death in the name of gluttony and bleeding to death a lawyer for greed, the anonymous killer is now turning his attention to the five remaining deadly sins. As the two men investigate, the gulf between their respective world-views begins to inform everything about how they respond to the savagery of these crimes.It is impossible to deny the potency and artistry with which Fincher executes the material. Although very little of each murder is shown, the director expertly allows suggestion to lead the appalled viewer towards the truly cataclysmic climax. Fincher's sepia-toned gloom successfully lends the film the knock-out punch it intends to. Purposely draining his landscapes of color, and setting all the tense action against rain-washed streets and under-lit interiors, Fincher evokes an atmosphere of nightmarish proportions as he unfolds a gripping tale of urban horror. Se7en is riveting in a gut-twisting way. It plays out at an engaging pace destined to entrance you with its abject horror. The film is as dark and brutal as a film can be, without showing much actual violence. Most of the stuff in the film is implied, but it's so damn disturbing that you feel like you actually saw it. And that is the beauty of Se7en!","
            6/10
            "
